,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
0,18,96.89671178957767,10,0.4833482567682269,179.12713800614682,1.0,0.852186442143835,119.29149580788649,10,0.9832147491591737,261.9136642014487,1.0,0.7823430901443386,74.27669890808346,1.5,0.7078794110310677,4.5,2.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,712,708,dikesnet
1,30,87.37819621008671,10,0.47934731611376236,298.73577727252956,1.0,0.6870015313290642,204.8339148754567,10,0.5874107313348153,222.61414845902704,10,0.5772696425419194,215.5533343957899,1.0,0.6575184306189829,2.5,4.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,713,708,dikesnet
2,2,214.1037672944191,1.5,0.549727556154613,90.9100442125984,1.0,0.4221601952529159,72.69093385694237,1.0,0.3645493800528752,151.73133796857374,1.5,0.47225294668156415,195.96595936437166,1.0,0.15699739143070057,4.5,3.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,714,708,dikesnet
3,73,320.1651923998777,1.0,0.4778508435099553,122.94552410937449,1.0,0.7996115831895868,319.3273398179595,1.5,0.6043386379792084,218.75269318960972,1.0,0.2366439435911727,335.43851081205327,1.5,0.9433644102458499,2.5,1.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,715,708,dikesnet
4,48,120.34129025459237,1.5,0.9539551010135449,189.95099985843527,1.5,0.46980869551305104,231.61814575678093,10,0.08359491608596181,210.1491462159342,10,0.03165823798148204,294.7190847999533,1.5,0.6592843348422398,1.5,2.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,716,708,dikesnet
5,16,301.472397778242,1.0,0.67419234662187,37.5103333993496,10,0.28955715428224515,223.41780356971861,10,0.8823948015261164,145.08970470124422,10,0.07884705672731218,282.05667294416617,10,0.6190059913728788,1.5,3.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,717,708,dikesnet
6,32,245.37256659211488,1.0,0.45450334854463337,139.2788685266009,1.0,0.9378247136630302,115.57038708606406,1.0,0.1605043639375534,213.00754326746807,1.5,0.551560146962619,128.72839575954424,1.0,0.02092456902165274,4.5,4.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,718,708,dikesnet
7,96,285.01302643905035,1.5,0.832468042536625,67.41965432634186,1.5,0.809595947083931,248.02414967264275,10,0.19575288901093535,66.22239717421678,1.0,0.8651373143217588,219.39768387700633,1.0,0.5683240240589015,2.5,2.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,719,708,dikesnet
8,30,262.1732245128134,1.5,0.6487366758495224,119.30994703592908,10,0.19994691233559803,295.17934104440616,1.5,0.9242201492386624,169.9730359145134,10,0.8325448749238853,145.74415584805723,1.5,0.9735312259162977,1.5,4.5,4.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,720,708,dikesnet
9,0,341.12031662097826,1.0,0.8755443588727716,347.4491302505689,10,0.7105970564140713,128.69250587915062,1.5,0.5501357132909265,288.81934963071257,1.0,0.21719419368016157,103.77926654678532,1.5,0.05889679276711113,2.5,3.5,1.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,721,708,dikesnet
10,106,85.45574023507857,10,0.10060756049991326,203.68009014631218,1.0,0.9799768288491012,255.33031370935385,1.5,0.1839300564489057,32.91856224188468,1.5,0.9654464307817339,78.44904033834655,1.5,0.5876822236332375,3.5,1.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,722,708,dikesnet
11,47,248.56149599766823,1.5,0.4627169171015082,226.79755205127205,10,0.04796755350501458,231.5119143487692,1.0,0.23826813657477108,235.79485259491838,10,0.7537628399822892,230.7846853803093,1.5,0.5975905256290769,4.5,2.5,4.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,723,708,dikesnet
12,68,289.3887131162894,1.5,0.16444011667730607,314.98291108591286,10,0.7356460692901751,249.7796636037772,1.0,0.259820308927877,84.41976094010258,10,0.5595947254757009,102.18093530251241,1.5,0.33526500196997977,2.5,3.5,4.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,724,708,dikesnet
13,53,51.78813309915771,1.5,0.2626397792008446,108.52692145609083,1.5,0.804864143688277,96.51503141987365,1.5,0.9869488463681303,194.38977230337272,1.0,0.9038387864215902,205.93886749058765,1.0,0.45398756438559906,3.5,1.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,725,708,dikesnet
14,103,31.125378276495965,10,0.045749565378250034,309.34814296495654,1.0,0.9291234757453521,144.22191196370193,1.5,0.8421784357766237,136.4987899723564,1.5,0.4052298036609522,225.52704574807703,1.0,0.08683860610881078,3.5,1.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,726,708,dikesnet
15,82,308.5087558336071,1.5,0.18028950717902525,108.74347677302663,1.0,0.5220589581334992,308.76968070314206,10,0.7198399010133522,266.77196428853006,10,0.1483318085772224,68.21802322898776,1.5,0.8007941271890738,3.5,1.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,727,708,dikesnet
16,69,315.18709162850564,1.5,0.8943945026665261,68.3831609595903,1.0,0.06040898203204348,113.65724076382755,1.0,0.2611616451909793,188.64989587310774,10,0.3885621808284264,64.8533778790198,10,0.42798500345791757,2.5,1.5,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,728,708,dikesnet
17,35,144.71389908461137,1.0,0.8540911286134909,91.90817322382787,1.0,0.24857858537096322,243.62524836962785,10,0.9395079882042932,297.78939910834316,1.0,0.8500177594653341,196.33860707406146,1.5,0.33623267203800655,4.5,1.5,4.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,729,708,dikesnet
18,3,77.82018035721833,1.0,0.5947076871142853,150.32139351750828,10,0.960337283580472,57.53725458495435,10,0.13910804654796682,120.64107605614393,10,0.9771697276394116,279.95782514537814,1.5,0.03548758162501919,4.5,1.5,4.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,730,708,dikesnet
19,44,287.47224819797515,10,0.6901949174284332,54.14707369720791,1.0,0.32007016972692515,217.38307586475247,1.0,0.5570576231458049,105.77916149453152,1.0,0.7262984939806163,226.3668422795826,10,0.8630379544258441,4.5,1.5,1.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,731,708,dikesnet
20,30,31.030255083418048,1.5,0.14131666611777127,230.30144613588197,1.0,0.12243728874185211,183.02673790912075,10,0.03400240743916494,142.11088897643054,1.5,0.5002298860503535,164.43704181844168,10,0.015226812394086853,3.5,2.5,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,732,708,dikesnet
21,43,316.15788143704845,1.0,0.9243109028047686,184.17535227816242,1.0,0.2099356014405368,349.4011716316542,10,0.8135457602352317,114.42363294948134,1.0,0.7783923723675811,266.07338914750096,10,0.8082231496206249,2.5,3.5,1.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,6,3,10,8,7,10,0,7,3,8,6,2,7,1,733,708,dikesnet
