,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,131.0,200.00132621348214,1.5,0.05422131405824534,248.3517030652271,10,0.6090489155918456,287.4961991094153,1.0,0.523744654213424,210.22236269518814,1.0,0.7607738655604415,328.9763994443188,10,0.6153521285857282,1.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,base case without policy,dikesnet
1,32.0,107.65243844711408,1.5,0.6137261359135852,282.22066088687666,1.0,0.2127744205038907,232.61376827286045,1.0,0.48747255050345334,167.6676561768321,1.0,0.21391032509282426,52.74370318934885,1.0,0.34442710777860885,2.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,base case without policy,dikesnet
2,110.0,347.123939752735,1.5,0.7430022857776399,201.80572265210304,10,0.5569662745861101,89.74244416530239,10,0.4915294332426987,146.43473328779413,1.5,0.6348708070123865,204.52510069773365,1.0,0.7410808673512407,1.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,base case without policy,dikesnet
3,22.0,125.60861945712718,1.0,0.56911741814854,95.14524722177244,10,0.4853999408105045,98.73585427253808,10,0.7235648916666055,123.93153324214211,10,0.9267900538537714,140.9197123803229,1.5,0.5045779095043831,3.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,base case without policy,dikesnet
4,114.0,227.3286643094039,1.0,0.9376168598227536,30.901107732742275,1.0,0.3613546425262899,51.59819578915979,10,0.855910407803769,255.9676139897877,10,0.7139759433386412,266.2105698395444,1.0,0.37426641643628666,1.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,base case without policy,dikesnet
5,7.0,243.7753080787108,1.0,0.9009769353240311,165.9439754687704,10,0.0750461115315408,316.76928133124005,1.0,0.5481731462554537,299.7136916860134,10,0.20752523826146663,179.86717394041926,1.0,0.40878862448602143,4.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,base case without policy,dikesnet
6,108.0,324.5205448827304,1.5,0.31376005486890496,40.11915798538634,1.0,0.8859867467530274,138.30435571972276,1.5,0.20626391284729617,76.80983194630039,10,0.5377796806986375,162.3776631212716,1.5,0.552390959663323,3.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,base case without policy,dikesnet
7,132.0,57.46211607879978,10,0.9389002741371214,229.96872986213043,10,0.802615272493797,279.56696315869056,1.5,0.9297001399138514,163.54816508719122,1.5,0.06504060367407485,160.97587521042277,1.5,0.8191693872421355,4.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,base case without policy,dikesnet
8,119.0,323.5584441281231,1.5,0.15689339163812072,271.99098549554765,1.0,0.7586188428118454,38.17807058559577,1.5,0.0867298087245556,58.959078143812434,1.5,0.5385408894487188,90.02506999705608,1.5,0.7080651615141097,3.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,base case without policy,dikesnet
9,125.0,112.34903508053421,1.5,0.3170289557611758,113.68899936934156,1.5,0.8765581970647393,225.69582249049944,1.5,0.7337345403258283,59.34066359997153,1.0,0.08151235925255693,266.8114555985993,1.5,0.7214254247665776,2.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,base case without policy,dikesnet
