,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,2577825308.964009,1.5078301912289405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,64355125.51194315,0.05163263108022163,249905450.59887844,0.25428413675871814,1224996.6544479183,0.0024279340206036426,17910505.811066046,0.00902541987936453,0.0,0.0,0.0,0.0
2,11916860.631179465,0.007771500108402865,69476999.00013755,0.059495890664589574,205960055.35377702,0.3281603612434033,2354591.976287651,0.0010623615183085948,0.0,0.0,0.0,0.0
3,91944275.537788,0.0843614605824916,59093141.77587678,0.07173634424633794,0.0,0.0,0.0,0.0,18696445.101444572,0.021840128346130864,0.0,0.0
4,0.0,0.0,177955537.06309342,0.13384963726095436,15290454.472060706,0.022507255227808116,2203059.121084934,0.0009516731239647808,184370722.74846238,0.13500898172276068,0.0,0.0
5,0.0,0.0,794073574.3059192,0.6793261828842937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1613712324.1681378,1.4729391068594708,0.0,0.0,189205799.24154028,0.43292473728866876,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,19331222.545549713,0.020692806496274297,12522284.648165356,0.025215262757085775,136128480.13343814,0.06443763414130402,0.0,0.0,0.0,0.0
8,2413843502.7037354,1.5039447793788958,0.0,0.0,72362985.79750395,0.10966893360834727,0.0,0.0,0.0,0.0,0.0,0.0
9,2173887096.153281,1.496873256402131,0.0,0.0,0.0,0.0,44537182.112844594,0.0194802656642667,0.0,0.0,0.0,0.0
10,2029963332.6396708,1.46757157596443,2451841.5050414,0.0025010467844158385,0.0,0.0,0.0,0.0,173176301.79336303,0.16655242031927464,0.0,0.0
11,2238477557.7178774,1.4900425748932797,0.0,0.0,0.0,0.0,12539855.731388036,0.005671031794225149,0.0,0.0,0.0,0.0
12,2412404491.028025,1.5028261938470924,0.0,0.0,1580309972.5753052,2.4246683499567228,0.0,0.0,0.0,0.0,0.0,0.0
13,2023582557.423167,1.496873256402131,0.0,0.0,206743207.21893966,0.37234599720476225,0.0,0.0,0.0,0.0,0.0,0.0
14,67243009.2959821,0.05293188209205936,3426921.9118878394,0.003699356992119304,77354106.24706441,0.15478884856432604,63964462.86942279,0.033182464263321367,115275970.06571397,0.11289878610543364,0.0,0.0
15,2022886926.7341166,1.503417208139437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,630250157.1890135,0.6589512482011923,0.0,0.0,67349739.07839656,0.02711902022392928,0.0,0.0,0.0,0.0
17,0.0,0.0,12438352.265564151,0.013041350284445965,38287746.84479561,0.07445204235405796,16186583.299563173,0.009080905617251426,245442943.34441233,0.2352400943629582,0.0,0.0
18,1976615807.264439,1.4605646900949822,4296511.910432895,0.003999381150275505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,84125490.31860839,0.05335250221753604,10545758.013569457,0.009134932213904,633342231.3369501,0.9861916990946762,0.0,0.0,0.0,0.0,0.0,0.0
20,96923607.941513,0.05186377792600917,374927846.4420094,0.2542742855426981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1619426844.399055,1.4794623849523365,0.0,0.0,0.0,0.0,0.0,0.0,4936509.3336759275,0.005852874210397108,0.0,0.0
22,2525816707.8930154,1.4981800961538423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2088886732.1403131,1.4564469222837497,18722703.194161292,0.018164000815594158,62620956.57030994,0.11657867562544103,44290967.30669461,0.019773729967100834,0.0,0.0,0.0,0.0
24,0.0,0.0,344279392.1761567,0.2521277285001075,648136215.9367387,0.9070244034873369,24697688.90481562,0.009013178988689223,17496125.235238638,0.012449305035771477,0.0,0.0
25,1913984083.1951556,1.506402187682915,10680690.944147788,0.012124498121571218,10389136.73929654,0.022377773020577973,1445283.8312897373,0.000892188729050069,264244294.54547557,0.27924040045574694,0.0,0.0
26,0.0,0.0,400435619.6126825,0.4465605764518735,1219827247.3057632,2.558710906904433,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,314623073.0098845,0.25656111039164053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,127247343.7643569,0.13186250614339012,21570344.27728781,0.04354885832063002,108676759.19457601,0.05250618931532901,0.0,0.0,0.0,0.0
29,1913712721.5850143,1.5061357698377538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2145378551.5514886,1.5058406016599315,12141012.899368513,0.012452319092667925,111567988.07885718,0.21178018228627185,0.0,0.0,89557735.50398801,0.08526879032306103,0.0,0.0
31,0.0,0.0,33075780.47811511,0.028957032568289062,957940867.432904,1.495614369321169,0.0,0.0,0.0,0.0,0.0,0.0
32,45725832.74168238,0.03315495257434828,29169989.73097823,0.02844654132222489,1595228875.0082006,2.7314517201164596,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,302628748.9413675,0.3216349535148429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,13698058.670432445,0.007404262932294655,17418993.39775065,0.012760920545192522,738906430.2750859,0.9688445331761962,119912690.53678702,0.03968119251367596,0.0,0.0,0.0,0.0
35,1905608064.7221653,1.4981800961538423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,26943017.89267348,0.02878824042371369,22619724.64018125,0.04551958808588865,137911299.95440817,0.06532794568919005,0.0,0.0,0.0,0.0
37,22923521.430175513,0.017618847523360452,73241137.26324576,0.07369125300713217,0.0,0.0,144669415.63869336,0.06584342718712255,0.0,0.0,0.0,0.0
38,62209852.4664935,0.049600514192130324,126921368.9658066,0.13117852909488065,900624816.5856206,1.732589981924238,99103436.61138289,0.043995602024775565,0.0,0.0,0.0,0.0
39,0.0,0.0,791358610.974983,0.6758543361305793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41893456.52805306,0.03382341782091085,183467979.8612816,0.18905364772252337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,35132222.183706865,0.03270903796385379,5125445.827467502,0.006558357861413939,31313270.29769609,0.07445061343340272,75550352.82644673,0.044974475383427144,0.0,0.0,0.0,0.0
42,2141093669.0264788,1.5020892357771731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,223514568.8884793,0.25665526549995693,0.0,0.0,116953096.46421236,0.0625019539215435,21270424.623703763,0.02323708092313266,0.0,0.0
44,157706457.95334136,0.11790273117684746,135251883.4017103,0.13232725833542905,0.0,0.0,141915288.67970353,0.0640389769655446,0.0,0.0,0.0,0.0
45,2964162282.1962967,1.4596254133583069,0.0,0.0,0.0,0.0,1446359.6105027674,0.0004662378082883646,0.0,0.0,0.0,0.0
46,1903304110.2921715,1.4959186987999349,0.0,0.0,0.0,0.0,479721.13980551006,0.0002568000948964832,0.0,0.0,0.0,0.0
47,0.0,0.0,44610530.12015343,0.03466427260696332,341819268.36679345,0.4899985133797399,98167428.61438319,0.03564466546211694,0.0,0.0,0.0,0.0
48,75098936.32346334,0.05030473477413165,2231376.0419114185,0.002070849605573874,58046754.340760395,0.09936058127407012,12225683.572677862,0.005970913447689299,89689724.51980582,0.07711224891139754,0.0,0.0
49,1637506494.005247,1.5001210197545132,49646600.39020934,0.060623903940437915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2162147558.010831,1.4867825370457033,0.0,0.0,229538268.60028833,0.3920586956812555,0.0,0.0,0.0,0.0,0.0,0.0
