,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
1,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
2,155322556.95399606,0.0,284996854.2778889,0.000672726799498112,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,49.53881152237497
3,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
4,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
5,155322556.95399606,0.0,288503953.65101284,0.0012596805434085933,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,93.70381052520774
6,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,139193354.83429793,0.0035854731392312754,785300000.0,336.8596546793167
7,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
8,155322556.95399606,0.0,291485050.4170969,0.002022656747493126,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,152.61351399983783
9,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,133301934.67851457,0.00047439924739209376,785300000.0,43.31408667461468
10,386485305.2285369,0.06878238404079574,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,1506.3987889165992
11,155322556.95399606,0.0,308408501.093372,0.0120405685042968,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,983.5100705480941
12,196356331.70340347,0.010239692347212045,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,305.52111923952594
13,157277865.58782214,0.0006255693676440785,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,21.53327589716208
14,826309846.4343754,0.1880314036451552,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,4264.532614369278
15,172156385.89430892,0.00530047111516595,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,164.1758148166828
16,155322556.95399606,0.0,322093948.281,0.01232697081964882,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,994.7999285099825
17,155322556.95399606,0.0,287647509.489238,0.002039708823695979,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,153.0858879081305
18,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,136785673.97822303,0.002431360344317996,785300000.0,225.18712414841684
19,155322556.95399606,0.0,284988123.8731416,0.0006639987727857749,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,49.29702911179087
20,205719194.59969783,0.015618697948543338,290171005.00368685,0.0026688468183371375,90160715.42553899,0.0,47498415.91912305,0.0,133335821.05341965,0.0004860739732675425,785300000.0,681.6137197141398
21,155322556.95399606,0.0,289699030.3487793,0.002017464035654255,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,152.4696663207174
22,155322556.95399606,0.0,291404423.2590186,0.0019820649256389986,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,151.48904579398112
23,155322556.95399606,0.0,287395184.9386086,0.0012509735912583165,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,93.46261191879667
24,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
25,178738099.2123306,0.008935136760276999,284132647.7801449,0.0002133871408303984,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,280.2871234867263
26,155322556.95399606,0.0,283720131.70953023,0.0,159174514.2930962,0.04095967749613587,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,1568.2573129072005
27,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
28,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
29,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
30,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
31,155322556.95399606,0.0,292050555.2145425,0.003509878878719004,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,267.0932735304249
32,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
33,155322556.95399606,0.0,294131020.61999947,0.00347999486192744,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,266.26543124075977
34,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
35,155322556.95399606,0.0,296069841.73354524,0.006195112964548716,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,486.5778623029279
36,155322556.95399606,0.0,284142166.8693633,0.0002229036371877253,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,16.363257155339348
37,331878495.9260496,0.05267198131316141,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,1123.0666571570684
38,155322556.95399606,0.0,291422147.44004405,0.0019909881819690383,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,151.73623642444596
39,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,49468253.46873668,0.00026727442583856424,131834239.3165331,0.0,785300000.0,50.71506999311756
40,164115201.4525211,0.0034030204224179002,289092667.01414514,0.0027525468013576584,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,321.4094639146261
41,155322556.95399606,0.0,284238183.59349513,0.00022559772379264313,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,16.437888314835988
42,155322556.95399606,0.0,287647728.51210684,0.0020399277869061583,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,153.0919535922228
43,155322556.95399606,0.0,356765606.40651995,0.028452321056397837,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,2418.9662131149203
44,942418740.1395624,0.18272746363252346,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,4115.333014188633
45,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
46,1035865219.7646147,0.15956283207460936,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,3546.476901249336
47,155322556.95399606,0.0,343607189.36073077,0.028452321056397837,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,2418.9662131149203
48,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
49,155322556.95399606,0.0,286090733.091563,0.0012212163573722418,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,92.6382817490551
50,155322556.95399606,0.0,284563450.5679444,0.00022555314039845577,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,16.43665327272694
51,158563077.45192772,0.0006385714047699562,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,22.358211968855883
52,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
53,155322556.95399606,0.0,284367742.5041746,0.0002238562140128926,90160715.42553899,0.0,47498415.91912305,0.0,136058748.69887707,0.0013606370899947224,785300000.0,141.43533699598478
54,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
55,470995960.6154488,0.09332726820318621,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,2030.9229327734738
56,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,132790443.70871115,0.00047312109914717784,785300000.0,43.21070022667244
57,155322556.95399606,0.0,284141804.9163972,0.00022254178281234255,90160715.42553899,0.0,47498415.91912305,0.0,139231620.7812348,0.003605657736185904,785300000.0,354.8455730486635
58,155322556.95399606,0.0,284141075.34636706,0.00022181241150642157,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,16.333028194726293
59,155322556.95399606,0.0,284370765.7345613,0.0002258303037749671,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,16.444331208588864
60,155322556.95399606,0.0,310016559.91575354,0.006603744324014536,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,522.8238469320897
61,1208547649.8237123,0.19240168685953135,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,4360.055531425175
62,155322556.95399606,0.0,360001562.79643375,0.018401280074378978,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,1544.5116010020329
63,155322556.95399606,0.0,293667084.54577684,0.005028315893889629,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,390.95866144647187
64,1747861151.8956325,0.35177870028941116,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,7832.651661013522
65,168956471.31310952,0.005224888720223092,293552127.1052404,0.004913389766084032,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,547.155358987222
66,155322556.95399606,0.0,287418338.21485883,0.0012660920704205716,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,93.88142162879087
67,155322556.95399606,0.0,284361505.0259323,0.00021978330511603994,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,16.276818211580327
68,172723900.46743482,0.003389690922787545,291434831.76795596,0.0019973741193034422,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,262.1740029625963
69,315719632.6710568,0.030131649363318722,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,739.4140755332987
70,155322556.95399606,0.0,601682989.9115244,0.07216360843802132,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,6649.931974367986
71,173040250.8001328,0.0034615917841315366,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,114.82273516216598
72,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
73,155322556.95399606,0.0,287400680.21681017,0.001254561863090088,90160715.42553899,0.0,49391096.69209759,0.0003092353659974954,131834239.3165331,0.0,785300000.0,160.05252550328052
74,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
75,155322556.95399606,0.0,283720131.70953023,0.0,97074254.3232011,0.004368582136512349,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,144.01124461843042
76,155322556.95399606,0.0,289139472.2888369,0.002799339326974914,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,211.59912623614204
77,155322556.95399606,0.0,314246993.6244887,0.012299395745987643,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,993.712594947435
78,155322556.95399606,0.0,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,0.0
79,155322556.95399606,0.0,285452781.44457936,0.0009042689933033184,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,67.43372029089072
80,155322556.95399606,0.0,294378557.12059796,0.0027474696293700723,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,210.16224010637805
81,155322556.95399606,0.0,288481443.4582994,0.0020159462275236395,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,152.42762024080503
82,156936178.16776562,0.0006303272535190182,287623740.4187174,0.0020159462275236395,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,174.26276819426423
83,661814439.5222638,0.17764912200191982,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,3996.9110424143737
84,768919941.320685,0.1789928775695507,285053791.6452955,0.0005171895304372279,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,4101.2459216780035
85,182688881.12095392,0.0052914332267120275,283720131.70953023,0.0,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,163.602390812013
86,155322556.95399606,0.0,290274653.6364269,0.002753801032354637,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,210.33763162687188
87,168924259.66355664,0.003444239455495621,284360148.8425342,0.0002188977531007064,90160715.42553899,0.0,47498415.91912305,0.0,131834239.3165331,0.0,785300000.0,129.9740743330916
